Trade ID,Symbol,Strategy Version,Entry timestamp,Exit timestamp,Side,Entry price,Exit price,Quantity,Notional,Gross P&L,Funding P&L,Fees,Slippage,Net P&L,Equity after trade,Drawdown %,Signal,Status
7,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-07-11 00:00:00+00:00,2020-07-11 08:00:00+00:00,Long Spot / Short Perp,9269.98,9223.92,10.787509789665135,100000.0,0.0,10.0,280.0,100.0,-370.0,99003.115,0.9999688509702922,HOLD_CARRY,SUCCESS
8,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-07-22 16:00:00+00:00,2020-09-04 08:00:00+00:00,Long Spot / Short Perp,9518.25,10427.24,10.506132955112546,100000.0,0.0,2833.203,280.0,100.0,2453.203,101456.318,0.0,HOLD_CARRY,SUCCESS
9,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-09-15 00:00:00+00:00,2020-09-22 08:00:00+00:00,Long Spot / Short Perp,10735.41,10448.68,9.314967942537827,100000.0,0.0,-0.44599999999999945,280.0,100.0,-380.446,101075.872,0.37498502557523944,HOLD_CARRY,SUCCESS
10,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-09-25 16:00:00+00:00,2020-09-26 00:00:00+00:00,Long Spot / Short Perp,10683.51,10701.39,9.360219628193356,100000.0,0.0,10.0,280.0,100.0,-370.0,100705.872,0.7396739944771071,HOLD_CARRY,SUCCESS
11,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-09-29 00:00:00+00:00,2020-09-29 08:00:00+00:00,Long Spot / Short Perp,10722.0,10722.5,9.326618168252192,100000.0,0.0,10.0,280.0,100.0,-370.0,100335.872,1.1043629633789749,HOLD_CARRY,SUCCESS
12,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-09-30 08:00:00+00:00,2020-09-30 16:00:00+00:00,Long Spot / Short Perp,10773.26,10773.0,9.282241401395678,100000.0,0.0,10.0,280.0,100.0,-370.0,99965.872,1.4690519322808424,HOLD_CARRY,SUCCESS
13,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2020-10-10 08:00:00+00:00,2021-05-19 00:00:00+00:00,Long Spot / Short Perp,11352.85,40372.57,8.808360896162638,100000.0,0.0,11654.079,280.0,100.0,11274.079,111239.951,0.0,HOLD_CARRY,SUCCESS
14,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2021-08-13 08:00:00+00:00,2021-08-18 08:00:00+00:00,Long Spot / Short Perp,46371.2,45827.23,2.1565109378234766,100000.0,0.0,50.0,280.0,100.0,-330.0,110909.951,0.29665600985386986,HOLD_CARRY,SUCCESS
15,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2021-08-19 00:00:00+00:00,2021-08-19 16:00:00+00:00,Long Spot / Short Perp,44684.87,46772.0,2.2378939448632162,100000.0,0.0,10.0,280.0,100.0,-370.0,110539.951,0.6292703239324512,HOLD_CARRY,SUCCESS
16,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2021-08-20 00:00:00+00:00,2021-09-22 16:00:00+00:00,Long Spot / Short Perp,46871.29,43520.0,2.133502192920229,100000.0,0.0,464.09100000000007,280.0,100.0,84.09100000000007,110624.042,0.5536760799184456,HOLD_CARRY,SUCCESS
17,BTCUSDT,Candidate_C_v1.2_Units_Fixed,2021-09-23 08:00:00+00:00,2021-09-26 08:00:00+00:00,Long Spot / Short Perp,43740.46,43314.19,2.286212810747761,100000.0,0.0,6.122000000000002,280.0,100.0,-373.878,110250.164,0.88977655159161,HOLD_CARRY,SUCCESS
