Trade ID,Symbol,Strategy Version,Entry timestamp,Exit timestamp,Side,Entry price,Exit price,Notional,Gross P&L,Funding P&L,Fees,Slippage,Net P&L,Equity after trade,Drawdown %,Signal,Status
4,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-04-22 16:00:00+00:00,2020-09-22 08:00:00+00:00,Long Spot / Short Perp,182.63,341.03,100000.0,0.0,7079.747,73312.4,26183.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
5,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-09-25 16:00:00+00:00,2020-10-02 08:00:00+00:00,Long Spot / Short Perp,351.88,342.93,100000.0,0.0,115.51900000000002,97273.4,34740.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
6,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-10-12 08:00:00+00:00,2020-10-18 08:00:00+00:00,Long Spot / Short Perp,385.88,375.73,100000.0,0.0,70.00000000000001,106625.4,38080.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
7,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-10-18 16:00:00+00:00,2020-10-19 08:00:00+00:00,Long Spot / Short Perp,378.29,383.76,100000.0,0.0,20.0,106687.0,38102.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
8,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-10-19 16:00:00+00:00,2020-10-21 16:00:00+00:00,Long Spot / Short Perp,379.47,390.96,100000.0,0.0,88.577,107860.20000000001,38521.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
9,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-10-22 00:00:00+00:00,2020-10-31 08:00:00+00:00,Long Spot / Short Perp,395.29,390.05,100000.0,0.0,349.96000000000004,109947.6,39267.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
10,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-10-31 16:00:00+00:00,2020-11-03 00:00:00+00:00,Long Spot / Short Perp,386.29,375.27,100000.0,0.0,60.00000000000001,106618.4,38078.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
11,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2020-11-06 00:00:00+00:00,2021-06-20 08:00:00+00:00,Long Spot / Short Perp,436.13,2109.07,100000.0,0.0,14985.990999999998,356328.00000000006,127260.00000000001,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
12,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2021-06-29 16:00:00+00:00,2021-07-01 00:00:00+00:00,Long Spot / Short Perp,2165.15,2128.09,100000.0,0.0,10.0,601053.6,214662.0,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
13,ETHUSDT,Candidate_C_v1.1_Fixed_Accounting,2021-07-05 08:00:00+00:00,2021-07-09 16:00:00+00:00,Long Spot / Short Perp,2206.0,2147.53,100000.0,0.0,29.558999999999997,609494.2,217676.5,-0.0,0.0,100.0,HOLD_CARRY,HALT_CIRCUIT_BREAKER
